trial,cf_mean_vae-ridge,cf_mean_cbas-ridge-0.1,cf_mean_cbas-ridge-0.2,cf_mean_cbas-ridge-0.3,cf_mean_cbas-ridge-0.4,cf_mean_cbas-ridge-0.5,cf_mean_cbas-ridge-0.6,cf_mean_cbas-ridge-0.7,cf_mean_cbas-ridge-0.8,cf_mean_cbas-ridge-0.9,cf_mean_dbas-ridge-0.1,cf_mean_dbas-ridge-0.2,cf_mean_adalead-ridge-0.2,cf_mean_adalead-ridge-0.15,cf_mean_adalead-ridge-0.1,cf_mean_adalead-ridge-0.05,cf_mean_adalead-ridge-0.01,cf_mean_biswas-ridge-0.02,cf_mean_biswas-ridge-0.015,cf_mean_biswas-ridge-0.01,cf_mean_biswas-ridge-0.005,cf_mean_pex-ridge,cf_mean_adalead-fc-0.2,cf_mean_adalead-fc-0.15,cf_mean_adalead-fc-0.1,cf_mean_adalead-fc-0.05,cf_mean_adalead-fc-0.01,cf_mean_biswas-fc-0.02,cf_mean_biswas-fc-0.015,cf_mean_biswas-fc-0.01,cf_mean_biswas-fc-0.005,cf_mean_pex-fc,cf_mean_cbas-fc-0.1,cf_mean_cbas-fc-0.2,cf_mean_cbas-fc-0.3,cf_mean_cbas-fc-0.4,cf_mean_cbas-fc-0.5,cf_mean_cbas-fc-0.6,cf_mean_cbas-fc-0.7,cf_mean_cbas-fc-0.8,cf_mean_cbas-fc-0.9,cf_mean_dbas-fc-0.1,cf_mean_dbas-fc-0.2,cf_mean_dbas-fc-0.3,cf_mean_dbas-fc-0.4,cf_mean_dbas-fc-0.5,cf_mean_dbas-fc-0.6,cf_mean_dbas-fc-0.7,cf_mean_dbas-fc-0.8,cf_mean_dbas-fc-0.9,cf_mean_adalead-cnn-0.2,cf_mean_adalead-cnn-0.15,cf_mean_adalead-cnn-0.1,cf_mean_adalead-cnn-0.05,cf_mean_adalead-cnn-0.01,cf_mean_biswas-cnn-0.02,cf_mean_biswas-cnn-0.015,cf_mean_biswas-cnn-0.01,cf_mean_biswas-cnn-0.005,cf_mean_pex-cnn,cf_mean_cbas-cnn-0.1,cf_mean_cbas-cnn-0.2,cf_mean_cbas-cnn-0.3,cf_mean_cbas-cnn-0.4,cf_mean_cbas-cnn-0.5,cf_mean_cbas-cnn-0.6,cf_mean_cbas-cnn-0.7,cf_mean_cbas-cnn-0.8,cf_mean_cbas-cnn-0.9,cf_mean_dbas-cnn-0.1,cf_mean_dbas-cnn-0.2,cf_mean_dbas-cnn-0.3,cf_mean_dbas-cnn-0.4,cf_mean_dbas-cnn-0.5,cf_mean_dbas-cnn-0.6,cf_mean_dbas-cnn-0.7,cf_mean_dbas-cnn-0.8,cf_mean_dbas-cnn-0.9
0,0.2840890990411553,0.2948206716708053,0.299990245508093,0.2995780989989396,0.3084949642369001,0.3104626441942925,0.3202892339850866,0.3299866905665883,0.3636086535357126,0.4542906476540724,0.3114737880151585,0.408798575496054,0.4019515081491915,0.4095210993588858,0.4165579349269033,0.4330238321487598,0.4295064215102114,0.3443436143439436,0.3547909409991422,0.3730500502454922,0.3902091040710039,0.3441556535800261,0.3842989198303007,0.3928081625427346,0.4013265548591009,0.4192331495993123,0.4143209899575903,0.33305231497814,0.3455142794623954,0.363786143432694,0.3817796142881246,0.3403309839112001,0.2894384928262759,0.2904676843445742,0.2914371942574557,0.2911828254438245,0.2916401755173446,0.2919304025041568,0.2922073431596861,0.2931360436696189,0.2944211398798548,0.3114466877796821,0.3148423998261844,0.3171532725155523,0.324675048037428,0.3384136631628321,0.3445614287203324,0.3534524875692444,0.3482967241192388,0.350433362493479,0.3533637846012212,0.3610218463355008,0.3662886299231871,0.3800793081587364,0.3838211781226309,0.3105472942919299,0.3170410704719122,0.3332636700414231,0.3524687554539621,0.3254761346782784,0.2884229464020355,0.2883428920644887,0.2888458754348062,0.2898958439673067,0.2890201466255442,0.2893195101915268,0.2900623756930914,0.2908569916250854,0.2897815437322108,0.3105672188906543,0.3126363916698352,0.3163831891533104,0.3145751218621759,0.3322291292900045,0.3070529855043062,0.3254717965800893,0.3225426128847046,0.3168842935930432
1,0.2838145286740412,0.2953817494171402,0.2995171982516189,0.3011242949008389,0.3063883629832501,0.3107437207261201,0.3197037545678807,0.3304969802700276,0.3621362321739483,0.4539918670104269,0.3108515323451632,0.4106731231412567,0.400584141429895,0.4105022572296267,0.4171076906013019,0.4330112954845522,0.4270903645492297,0.3420284768069627,0.3507666710749292,0.372373609100014,0.3900400570831971,0.3454925308935308,0.3834635002216179,0.3924234955293945,0.4025314271899082,0.4176830184971099,0.4158243515324336,0.3353012898057199,0.3463368057935241,0.3635736196565855,0.3811592291254577,0.3419413289005439,0.2890007524038514,0.2901711904220053,0.291968254010266,0.2896213675253603,0.2906988111951152,0.2918067871436003,0.2928607691983398,0.2933033495441806,0.2950870881386428,0.3122446517231557,0.3129705527860217,0.317381136634482,0.3253567500576855,0.3374422325631072,0.3424902805311335,0.3561137845477985,0.3468954762762076,0.3513164127386308,0.3527682487303655,0.3593511534874468,0.3657374576949369,0.3809349402725145,0.3834565816146578,0.3100141340788157,0.3180399638654659,0.3314992270712902,0.3533336909513951,0.3257372967828872,0.2881948215552951,0.2893683030634678,0.2889131756416829,0.2879989840383995,0.2878084326949953,0.2893846193938259,0.2892694800959965,0.2893640334370218,0.290800268586155,0.3098964166169214,0.3106054032556176,0.3160305658149506,0.3132408326978254,0.3313826534184272,0.3086330310213833,0.3244541292221772,0.3229994249362156,0.3180268124074546
2,0.2846183889246941,0.2947512234042568,0.2985494668336844,0.3010090972191844,0.3066043701440163,0.3096162034163156,0.3181479554710318,0.3284568544904209,0.3596513622569049,0.4523596823359029,0.313029638637343,0.4086591999043113,0.3993786936922007,0.4097331587464378,0.4168416326233648,0.432211468792987,0.4268206587040989,0.344380231275159,0.3531944175461896,0.3737927882488584,0.3905749167868111,0.3457162358499841,0.3827872183784379,0.3916655043589717,0.4016179507603036,0.4184079091485371,0.4154478060690891,0.3340718397766853,0.3478782511363416,0.3639541090975537,0.3817553269527467,0.3423595376223592,0.2893879152918904,0.2903279558107242,0.2935196008503423,0.291091841149299,0.2903406879758164,0.2916018573192897,0.2914545706922058,0.2935639933992952,0.2950231794032193,0.3131240994692808,0.3149094728562303,0.3164862860331409,0.3255594442699126,0.3367706546206322,0.3445876050679739,0.3542177294890337,0.3463772528760914,0.3515170106786585,0.3534825183943272,0.360156238539749,0.3657297915665438,0.3801961735920945,0.3831564053823411,0.3106392080357918,0.3187460395374267,0.3325557700423437,0.3540272210422359,0.3251325921330442,0.2865890365101177,0.288428310953592,0.2884417771683489,0.290309583880713,0.2885404544122389,0.289371921297912,0.2891515187409758,0.2904522350870828,0.2887683412189696,0.3078847871473197,0.3101060020506671,0.3153861433253337,0.3139329177107661,0.3298666293008738,0.3074796004706942,0.3251861606773344,0.3225504252876966,0.3189689577056522
3,0.2856949142578788,0.2951453138913699,0.3001559380207363,0.299935592625046,0.3073989002863508,0.3094389747910732,0.3166093062296491,0.3320400869328757,0.361368054631603,0.454647762160146,0.3110642883761335,0.4102935956837642,0.401305991874312,0.4101461951609162,0.4165131968187873,0.4312332234533935,0.4281515804187329,0.3448300532267027,0.3540747221180418,0.3726894498310603,0.3905858801383393,0.3463402559006241,0.3847475395807858,0.3933423118248504,0.4022593445157535,0.4189216072895811,0.4157956882853212,0.3361804010752391,0.3457521663190909,0.3648969194955958,0.3822666636376904,0.3425827677526013,0.2903697508069101,0.2903570775594911,0.2928919965500531,0.2908306593751114,0.2918801638003526,0.2913138356498883,0.2906058768100787,0.2917264355843518,0.2947417498151753,0.3143821337545373,0.3142282517742014,0.3180055701136312,0.3249418995233046,0.3384497830301239,0.3452370292141399,0.3554123891993313,0.3481201360997214,0.351068302822538,0.3537163265693683,0.3601164301728822,0.3661085611127399,0.3808179422077729,0.3836680636492393,0.3116461022013367,0.3193975682532787,0.3312921546007584,0.3539036529246538,0.3248352116849481,0.2881143936959218,0.2905589287385132,0.2893453015833362,0.2892694100315537,0.2887239934209898,0.2905819373425407,0.2897067329447861,0.2896583135616927,0.2892128165571558,0.3088133306074432,0.3118405106916208,0.3176396376023996,0.3132886922619731,0.3330001357642767,0.3083725803360729,0.3253574736913299,0.3230054393999707,0.318547595112166
4,0.2849171090707816,0.2941275231263463,0.2994846196164563,0.3011743783228678,0.3075868643230402,0.3089563497839808,0.3182972170481176,0.3301697668625525,0.3614285476847219,0.4574645803435595,0.311925185381622,0.410538627073614,0.4005086865671822,0.4102347734378984,0.41583472164676,0.4321425140805893,0.4285521357907549,0.3436430334552005,0.3539926107465854,0.3729821912239956,0.3911219806350326,0.3442253305658975,0.3841594203822731,0.3928847453802238,0.4006740446284221,0.4183907007525578,0.4159118828408751,0.3330577115429566,0.3488796132157312,0.3632515647218195,0.3825456312249207,0.3403011215304952,0.2889044773016888,0.2917824922673135,0.2929593724405854,0.2905946819596775,0.2907504259050904,0.2930777450182,0.2921865345305803,0.2929792345834333,0.2944803212446612,0.3124905657240469,0.3145655345004591,0.3158306699485199,0.3237056086096825,0.3381739967745854,0.3441371055339188,0.3538940031749814,0.3479320210211721,0.3517179327413068,0.352924589653311,0.3601033262120526,0.3666515354973674,0.3808712458916063,0.3835363729149583,0.3111881134367207,0.3186016267430387,0.3323265479164076,0.3536717685384585,0.3241340332966683,0.2875483891734153,0.2885522333235422,0.2891487071148229,0.2894536397456326,0.2891578891094364,0.2889336210214517,0.2897960968648943,0.2915393428765611,0.2901647519819307,0.3102328998042241,0.310675407343936,0.3168423423271911,0.3131127812448163,0.3318979281985596,0.3077733156153349,0.324865595853791,0.3222005466075455,0.3189128404961504
5,0.2833311788936834,0.2931590768978114,0.299768161492792,0.3019339663067205,0.30836096662264,0.3090331437330832,0.3190950222647045,0.330121273407908,0.3631830386118879,0.4530807530320245,0.3114307671244039,0.4087655085597915,0.3993000526417186,0.4087716321185355,0.4159679191306777,0.4314664389284685,0.4272379295946411,0.343295821042462,0.3528754290245047,0.3696133308984423,0.3890009248098171,0.343736108141379,0.3829930768338835,0.3919884140055642,0.4000466417823498,0.418418259284402,0.4145117304531786,0.3361437708470802,0.3466629221550283,0.3631937028253659,0.3810468102313633,0.3395169095482515,0.2883347804074394,0.2896749145197411,0.2926277136714104,0.2896764968683756,0.2900600253599361,0.2907187057409052,0.2910397694990784,0.2937576766953275,0.2952222103778747,0.3125300717351917,0.3148562704200804,0.3164169985372588,0.3250547833711744,0.3371382261812495,0.344951708078914,0.3523407076588542,0.347718960688867,0.3493583460582074,0.3522424110648608,0.3595249268634476,0.364740392482938,0.379235947906787,0.3832286083580389,0.3107602963970631,0.318335196968818,0.3307422552133763,0.3533186932456365,0.3230055946393014,0.2882555052457368,0.2895057598664184,0.2883129406930605,0.2881687426159029,0.2877809375179461,0.2879435610541702,0.288691768922493,0.2895456834371303,0.2891237524288733,0.3094304975859835,0.3110449155947744,0.3163105000346385,0.3135689320550388,0.3318962896877721,0.3084482707537625,0.3245638199710803,0.321650875899051,0.3172720560318521
6,0.2856325925474906,0.2949886819342737,0.2993541715735789,0.3011736813780942,0.3057812623181243,0.3092628465405531,0.3182019349439802,0.3302154740617796,0.3602542592212299,0.4540674179482257,0.3110594257202521,0.4071490306486748,0.400214195970134,0.4085378779564533,0.4169487756181322,0.4327310922561022,0.4282150949196538,0.3418432649848519,0.3532166424168201,0.3726158031478991,0.3903008784395303,0.3460674169672064,0.3834775398395391,0.3931686047346721,0.4016994881023389,0.4182999814717282,0.414810506499682,0.3361228130850678,0.3455549386907842,0.363149964528897,0.381866018786138,0.3403522553744833,0.2885461866099407,0.2905612186916492,0.2929495259589364,0.2897825478990126,0.289550175733748,0.2902751942759476,0.2926325903417221,0.2931678827420785,0.2946967668689094,0.3131690787187527,0.3144251291645229,0.3167651403311673,0.3249429647328623,0.337848564532907,0.342611218351709,0.3543227377231067,0.3485802622839604,0.3511912255033139,0.3538299863636628,0.360850294373472,0.3667807141005973,0.3803659301667373,0.3831603727910697,0.3094876693948048,0.3194902758645995,0.3323498415020844,0.3537046783799305,0.3243617402119265,0.2875297039647075,0.2889011779015854,0.2875907872214504,0.2886615754139274,0.2895323488073823,0.2887867921853331,0.2890561526126824,0.2900428563104704,0.2894558874164543,0.3101882948088019,0.3117856520623182,0.3153587439885437,0.3131138730856886,0.3312697489407312,0.3070102715376747,0.3251816565674202,0.3224197832656287,0.3179229758373188
7,0.2852399093766653,0.2954326264339298,0.301360790452616,0.3023514702280632,0.3073425887043711,0.3079570271750666,0.3184618895034359,0.3310715539276649,0.3620999007513364,0.4526404573051524,0.3120220376070879,0.4093797477916807,0.399919785144303,0.4116346235748347,0.4164286560175592,0.4331921182964366,0.4285333558509467,0.3444236456447939,0.3535858502610263,0.3728909387896879,0.3907228667149404,0.344329998957821,0.3861838257618327,0.3926570062673713,0.4019159023707605,0.4199732255595754,0.4164777281230931,0.3367325226160281,0.3464355615751757,0.3621185687426504,0.3831589698349708,0.3419648122105768,0.289040235416723,0.2932152853118006,0.2912245474436513,0.2916908931201518,0.291405137968063,0.2925715776926091,0.2915303837682304,0.293650623788498,0.2942549232648421,0.3114740912179344,0.3151212874384621,0.3165195733870887,0.324012683327086,0.3387758195632807,0.343827229649925,0.3543006520345793,0.3481244421161294,0.352928930474754,0.352976505091647,0.3602262724277801,0.3658748392585283,0.3804886919484877,0.3837607312527509,0.3106430214903193,0.3188950163986313,0.3319701434757883,0.3545803770751571,0.3260895609622344,0.2881998591529781,0.2889447634596748,0.2894042395718103,0.2895459423188681,0.2886534318876332,0.2903933265930424,0.2883090595897959,0.2905845486218192,0.290345921,0.3099156293887836,0.3126116730079283,0.3171298001930813,0.3140004381371619,0.3324389329075322,0.3086603731332118,0.3259498477907864,0.3230821934735515,0.3183246230250544
8,0.2852743512960161,0.2939446153273558,0.299660947815429,0.3006732277196743,0.3061343792576722,0.3110597833751032,0.3184692244810264,0.3305229601512892,0.3611566340317763,0.4525674727138111,0.3089207860654875,0.4068685104730069,0.3981810049795902,0.4080384635426923,0.416940397809314,0.4310693331634909,0.4271470375265381,0.3404086902738945,0.3522334128218958,0.373330005856498,0.390920273120316,0.3464016945979306,0.3851033532353984,0.3927142388015265,0.4011929908961046,0.4176030060299366,0.4156705116869913,0.3350452667705368,0.345785002865739,0.363154188084767,0.3811492338523351,0.3395530514044411,0.288065422303818,0.29102156018432,0.2920947544154573,0.2907998085363084,0.2921200555750381,0.2914091209583271,0.2921326847670014,0.2940321879600401,0.2947231688257718,0.31183730991596,0.3137789264561468,0.3165357603786664,0.3225474397825254,0.337375022422122,0.3432931420883106,0.3539982594515841,0.3479132568509807,0.3524382170194124,0.3532376147244031,0.3596050401205257,0.3654107365848519,0.3798520528079047,0.3836174943397309,0.3106009914969012,0.3193123408154965,0.3304031751419594,0.3537401455802877,0.3230230959151756,0.2872066676912991,0.2884117229254042,0.2878234537189925,0.2885453792914286,0.2879284284104352,0.2901626608682446,0.2895910867444313,0.2896790071437112,0.2893301713965361,0.3096192632020489,0.3108658090263192,0.315202978557652,0.3120723454782492,0.330515891103824,0.307598197123464,0.3243797589850859,0.3224231564682416,0.3175385440323608
9,0.2848927455608434,0.2962744776589431,0.3004432418756761,0.2998184712455988,0.3079562377641123,0.3103625358643584,0.31822660044269,0.3316237348155743,0.3630460832019669,0.4568464751626845,0.3123789962333064,0.4085291424206068,0.4004142106669871,0.4107566635913786,0.4170972648423254,0.4335911430905594,0.4283147862943267,0.3435907516756507,0.3522361650424366,0.3742282745927342,0.3912456146934016,0.3459302954424611,0.3838720989575565,0.3945762930605317,0.4021586154264236,0.4183951212291373,0.4150067945705046,0.3360950657935156,0.347494191120867,0.3632738824106292,0.3814236625224861,0.3414688779825923,0.2877865006746418,0.2906182244768917,0.2919730747994682,0.2908882755976195,0.2908242564871422,0.2924931962376283,0.2924916182745403,0.2935180674193408,0.2947654637045782,0.3112887359503396,0.314672455308794,0.3179606169732238,0.3246212468475897,0.33731143446933,0.3436296313751766,0.3538097086693803,0.3486646621291743,0.3530156883136746,0.3534525613938307,0.3601968802168739,0.3658610899936492,0.3799661080205951,0.3839233203896004,0.3111561535148897,0.3184128516494576,0.3322962533488496,0.3529253870055724,0.3253172999569788,0.2874237213983921,0.289643818837512,0.2894781946596044,0.28933343478103,0.2877474491550366,0.2893984216315082,0.288285194185723,0.2895875593067193,0.2893214451252023,0.3098220463779119,0.3111498864731816,0.3165919905495516,0.3131711926484877,0.3318811313935511,0.308718126725175,0.3251081159379211,0.3209509961535261,0.31785918843459
