configuration,mean_design_label
vae-ridge,0.286266669703103
adalead-ridge-0.2,0.36562961386499443
adalead-ridge-0.15,0.37270595542846846
adalead-ridge-0.1,0.38154047274795255
adalead-ridge-0.05,0.3828625721313238
adalead-ridge-0.01,0.39724140103019406
biswas-ridge-0.02,0.3254229028993597
biswas-ridge-0.015,0.3358034266814737
biswas-ridge-0.01,0.3529910996899785
biswas-ridge-0.005,0.37824614006807816
pex-ridge,0.3409124444356092
cbas-ridge-0.1,0.29582396427938684
cbas-ridge-0.2,0.3009632260596
cbas-ridge-0.3,0.30291930449399784
cbas-ridge-0.4,0.30767589199177003
cbas-ridge-0.5,0.3112656774197323
cbas-ridge-0.6,0.3184446332230703
cbas-ridge-0.7,0.3297175574945995
cbas-ridge-0.8,0.3529290896427143
cbas-ridge-0.9,0.4079984479389607
dbas-ridge-0.1,0.32794130981025715
dbas-ridge-0.2,0.3815177749285254
adalead-fc-0.2,0.3680955121338241
adalead-fc-0.15,0.37493940248488145
adalead-fc-0.1,0.3839676025777091
adalead-fc-0.05,0.3851358690568075
adalead-fc-0.01,0.40018986267760565
biswas-fc-0.02,0.3257602598284312
biswas-fc-0.015,0.33670220874641305
biswas-fc-0.01,0.35483691013890606
biswas-fc-0.005,0.37989310588597797
pex-fc,0.3407380320852722
cbas-fc-0.1,0.28938704187472725
cbas-fc-0.2,0.29024497181673575
cbas-fc-0.3,0.29007545089732356
cbas-fc-0.4,0.290156272125185
cbas-fc-0.5,0.2900508312028032
cbas-fc-0.6,0.2908999768541013
cbas-fc-0.7,0.2911904665785889
cbas-fc-0.8,0.2913688396476716
cbas-fc-0.9,0.29193202294523485
dbas-fc-0.1,0.30153112630452084
dbas-fc-0.2,0.30728374142765236
dbas-fc-0.3,0.3053295499199104
dbas-fc-0.4,0.306334730955436
dbas-fc-0.5,0.31866903936040036
dbas-fc-0.6,0.31857399283505716
dbas-fc-0.7,0.31474205432803426
dbas-fc-0.8,0.31700883168318217
dbas-fc-0.9,0.3216945171774596
adalead-cnn-0.2,0.3720055128462082
adalead-cnn-0.15,0.37827492237974997
adalead-cnn-0.1,0.3872325396827672
adalead-cnn-0.05,0.3877916800322077
adalead-cnn-0.01,0.40930062778283566
biswas-cnn-0.02,0.3249105728494899
biswas-cnn-0.015,0.3362268881129696
biswas-cnn-0.01,0.3552300383464848
biswas-cnn-0.005,0.38221339664941256
pex-cnn,0.3405560310152721
cbas-cnn-0.1,0.2903332040498386
cbas-cnn-0.2,0.29072698483252346
cbas-cnn-0.3,0.2904582343599176
cbas-cnn-0.4,0.2903651979051989
cbas-cnn-0.5,0.2910595830863044
cbas-cnn-0.6,0.2907851101270369
cbas-cnn-0.7,0.2911595092332392
cbas-cnn-0.8,0.29148831356646526
cbas-cnn-0.9,0.2918333731537365
dbas-cnn-0.1,0.306847704665294
dbas-cnn-0.2,0.30937503560659757
dbas-cnn-0.3,0.31433493868246076
dbas-cnn-0.4,0.3092452469606793
dbas-cnn-0.5,0.3133983788215756
dbas-cnn-0.6,0.31808820588488246
dbas-cnn-0.7,0.3175871323406888
dbas-cnn-0.8,0.32283318077622586
dbas-cnn-0.9,0.33162786732670946
