configuration,mean_design_label
adalead-ridge-0.2,0.3664930887082888
adalead-ridge-0.1,0.384099794744015
adalead-ridge-0.05,0.4049312668105113
adalead-ridge-0.01,0.4078759616481812
pex-ridge,0.3460453989549459
adalead-cnn-0.2,0.37248878017357084
adalead-cnn-0.1,0.38894348537565865
adalead-cnn-0.05,0.4103162960890455
adalead-cnn-0.01,0.41628839727637923
dbas-cnn-0.1,0.3132398487126671
dbas-cnn-0.2,0.3167745674499618
dbas-cnn-0.3,0.32195366851858986
dbas-cnn-0.4,0.31917936240161376
dbas-cnn-0.5,0.34057157271525823
dbas-cnn-0.6,0.312485232758657
dbas-cnn-0.7,0.33308551817548643
dbas-cnn-0.8,0.3292015333822594
dbas-cnn-0.9,0.32359999514146737
pex-cnn,0.3438456963812148
adalead-ridge-0.15,0.37574697763556936
adalead-cnn-0.15,0.38163897366737254
biswas-ridge-0.02,0.3260598576327392
biswas-ridge-0.01,0.35278371384010543
biswas-ridge-0.005,0.37181904839885654
biswas-cnn-0.02,0.3171130200525584
biswas-cnn-0.01,0.342111862794032
biswas-cnn-0.005,0.3673487369994963
biswas-ridge-0.015,0.33622406378109065
biswas-cnn-0.015,0.32622720718342535
cbas-cnn-0.1,0.287906707653634
cbas-cnn-0.2,0.29014702307062784
cbas-cnn-0.3,0.28960923806687844
cbas-cnn-0.4,0.2898071546570042
cbas-cnn-0.5,0.2892242141199918
cbas-cnn-0.6,0.2899766618912803
cbas-cnn-0.7,0.28980548269098755
cbas-cnn-0.8,0.2910102392750743
cbas-cnn-0.9,0.29067867514024254
vae-ridge,0.28495125227809925
cbas-ridge-0.1,0.2945062130679635
cbas-ridge-0.2,0.29968660821332066
cbas-ridge-0.3,0.3005707311321695
cbas-ridge-0.4,0.3066203862505231
cbas-ridge-0.5,0.30905042430067464
cbas-ridge-0.6,0.317631150015397
cbas-ridge-0.7,0.32911748605928914
cbas-ridge-0.8,0.3555985851564149
cbas-ridge-0.9,0.42606509972616835
dbas-ridge-0.1,0.31143165419763424
dbas-ridge-0.2,0.39283998587932073
adalead-fc-0.2,0.36979310905963125
adalead-fc-0.1,0.3858284503407483
adalead-fc-0.05,0.407737270355663
adalead-fc-0.01,0.41116360039664207
dbas-fc-0.1,0.3131512247132856
dbas-fc-0.2,0.31493730431227496
dbas-fc-0.3,0.3182929947132491
dbas-fc-0.4,0.325187361112117
dbas-fc-0.5,0.33808860075187663
dbas-fc-0.6,0.3432031836330078
dbas-fc-0.7,0.3550174328295594
dbas-fc-0.8,0.3474216489745127
dbas-fc-0.9,0.35300022608069104
adalead-fc-0.15,0.38001499660586074
biswas-fc-0.02,0.32376798479732094
biswas-fc-0.01,0.3505970937760302
biswas-fc-0.005,0.37176499113531564
biswas-fc-0.015,0.33409273013801016
cbas-fc-0.1,0.28864914342780656
cbas-fc-0.2,0.2910574597978734
cbas-fc-0.3,0.29222575035296405
cbas-fc-0.4,0.2901491128485512
cbas-fc-0.5,0.29070035044536097
cbas-fc-0.6,0.29135631357968633
cbas-fc-0.7,0.2922248643124137
cbas-fc-0.8,0.29364480412452104
cbas-fc-0.9,0.29507646742060895
pex-fc,0.34599358757122645
